timestep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	lx	hpmc_overlap_count	hpmc_patch_energy	time	temp
88410000	0.186440678	0.1498127341	0.03636815358	0.03984125631	12	0	-13693.12988	38700.5935	0.8949541618
88420000	0.1976284585	0.1904761905	0.03735069473	0.04076667654	12	0	-13629.40527	38716.46489	0.8949541618
88430000	0.1930501931	0.1753731343	0.03816226891	0.04127451347	12	0	-13556.04297	38732.25149	0.8949541618
88440000	0.2462121212	0.2230483271	0.03730069507	0.04060735824	12	0	-13670.25684	38748.03591	0.8949541618
88450000	0.2065217391	0.2117647059	0.03645013707	0.03941749357	12	0	-13765.40527	38763.77468	0.8949541618
88460000	0.2067669173	0.244813278	0.03699677328	0.0403946071	12	0	-13596.77734	38779.61683	0.8949541618
88470000	0.1762295082	0.2131147541	0.03718191104	0.04063420625	12	0	-13659.83301	38795.4463	0.8949541618
88480000	0.2591093117	0.2022058824	0.03593202294	0.03938009742	12	0	-13642.66211	38810.85377	0.8949541618
88490000	0.1464435146	0.1666666667	0.03656544218	0.04006069019	12	0	-13672.61914	38826.60765	0.8949541618
88500000	0.2109704641	0.2272727273	0.03658457078	0.03966607078	12	0	-13635.98535	38841.80118	0.8949541618
88510000	0.2256809339	0.2235772358	0.03645379342	0.03914528691	12	0	-13696.73047	38857.16472	0.8949541618
88520000	0.1711711712	0.2291666667	0.0364608639	0.03989285235	12	0	-13514.33594	38873.05101	0.8949541618
88530000	0.2418032787	0.2083333333	0.0371733576	0.04041370492	12	0	-13683.33887	38888.71702	0.8949541618
88540000	0.2139737991	0.2145454545	0.03729119114	0.04087829092	12	0	-13699.50098	38904.31123	0.8949541618
88550000	0.1680327869	0.244	0.03695682286	0.04006484648	12	0	-13759.48047	38919.63697	0.8949541618
88560000	0.1774744027	0.2089552239	0.03701672166	0.04047173791	12	0	-13571.61719	38935.39431	0.8949541618
88570000	0.2110091743	0.2129277567	0.03689885873	0.04026700914	12	0	-13667.91895	38951.097	0.8949541618
88580000	0.2103321033	0.2049180328	0.03692556277	0.04045188869	12	0	-13655.7373	38967.01114	0.8949541618
88590000	0.2311111111	0.1769547325	0.03788289072	0.04136606153	12	0	-13507.97949	38982.54229	0.8949541618
88600000	0.1746724891	0.2153846154	0.03607370946	0.03935233201	12	0	-13758.73047	38998.16282	0.8949541618
88610000	0.2258064516	0.2666666667	0.03676367096	0.03983382588	12	0	-13457.22461	39013.77693	0.8949541618
88620000	0.208	0.172	0.03713636395	0.03995898017	12	0	-13785.7002	39029.56501	0.8949541618
88630000	0.1708333333	0.1445783133	0.03670606964	0.04025710091	12	0	-13655.48633	39045.61067	0.8949541618
88640000	0.1735159817	0.2140077821	0.03687358218	0.04001991099	12	0	-13630.375	39061.39906	0.8949541618
88650000	0.1330275229	0.1450381679	0.03709348485	0.04035196935	12	0	-13505.05664	39077.4793	0.8949541618
88660000	0.1440677966	0.1843137255	0.03768358953	0.04098477603	12	0	-13534.91895	39093.41361	0.8949541618
88670000	0.2086956522	0.189516129	0.03719350862	0.04017749014	12	0	-13722.91309	39109.43994	0.8949541618
88680000	0.2189781022	0.1913357401	0.03650289712	0.03981670969	12	0	-13641.64551	39125.36947	0.8949541618
88690000	0.1576763485	0.1875	0.03755270751	0.04041612077	12	0	-13585.34473	39141.32491	0.8949541618
88700000	0.201793722	0.2669491525	0.03635614317	0.03969014302	12	0	-13555.08887	39157.0322	0.8949541618
88710000	0.1920289855	0.2056737589	0.03691570333	0.03985921929	12	0	-13750.36328	39172.57977	0.8949541618
88720000	0.175257732	0.1805054152	0.03702751721	0.04026153675	12	0	-13702.4707	39188.43576	0.8949541618
88730000	0.2468085106	0.2314049587	0.03797825726	0.04104533818	12	0	-13645.72461	39204.3505	0.8949541618
88740000	0.2227272727	0.2222222222	0.03663345826	0.03968316492	12	0	-13732.70801	39219.98431	0.8949541618
88750000	0.1797752809	0.1692913386	0.03622126023	0.03918197001	12	0	-13666.36523	39235.43163	0.8949541618
88760000	0.2117647059	0.2158273381	0.03729414417	0.04088847182	12	0	-13650.06641	39251.27592	0.8949541618
